candidate_id,department,admit
901456,A,Admitted
934684,E,Admitted
933936,E,Rejected
926559,D,Rejected
897324,A,Admitted
910770,B,Rejected
919555,C,Rejected
941465,F,Rejected
907421,B,Admitted
903763,A,Rejected
928765,D,Admitted
934659,E,Admitted
910350,B,Admitted
941186,F,Rejected
918873,C,Admitted
896657,A,Admitted
914858,C,Rejected
896469,A,Admitted
929528,D,Rejected
913295,C,Admitted
899927,A,Admitted
904797,A,Rejected
932761,E,Rejected
926992,D,Rejected
919056,C,Rejected
929726,D,Rejected
899601,A,Admitted
927002,D,Rejected
903684,A,Rejected
922042,C,Rejected
897296,A,Admitted
901926,A,Admitted
940247,F,Rejected
935076,E,Admitted
914729,C,Rejected
912544,B,Rejected
914554,C,Rejected
929080,D,Admitted
929853,D,Rejected
923677,D,Admitted
921812,C,Rejected
913451,C,Admitted
930297,D,Rejected
906181,A,Admitted
936360,E,Rejected
935975,E,Rejected
923064,C,Rejected
914407,C,Admitted
927472,D,Rejected
917033,C,Admitted
935139,E,Rejected
918179,C,Admitted
945889,F,Rejected
935125,E,Rejected
944448,F,Rejected
940789,F,Rejected
910686,B,Rejected
912830,B,Rejected
921968,C,Rejected
926216,D,Rejected
914674,C,Rejected
934857,E,Admitted
937977,E,Rejected
925672,D,Rejected
900658,A,Admitted
927671,D,Rejected
929030,D,Admitted
942550,F,Admitted
939253,F,Rejected
923833,D,Admitted
910638,B,Rejected
915911,C,Rejected
925986,D,Rejected
931777,D,Rejected
912059,B,Rejected
932322,E,Admitted
922138,C,Rejected
905340,A,Rejected
924380,D,Admitted
917563,C,Admitted
943469,F,Rejected
945598,F,Rejected
906629,A,Rejected
907269,B,Admitted
929021,D,Admitted
932095,E,Admitted
946084,F,Rejected
897254,A,Admitted
931124,D,Rejected
911018,B,Rejected
914302,C,Admitted
917453,C,Admitted
908621,B,Admitted
919905,C,Rejected
899283,A,Admitted
907774,B,Admitted
898124,A,Admitted
926637,D,Rejected
906389,A,Admitted
900749,A,Admitted
943468,F,Rejected
899562,A,Admitted
912446,B,Rejected
896627,A,Admitted
941076,F,Rejected
906461,A,Admitted
917119,C,Admitted
924619,D,Admitted
910306,B,Admitted
938818,F,Rejected
928106,D,Admitted
917021,C,Admitted
923530,D,Admitted
917563,C,Admitted
941024,F,Rejected
907508,B,Admitted
926006,D,Rejected
899131,A,Admitted
931736,D,Rejected
898379,A,Admitted
945842,F,Rejected
898670,A,Admitted
897428,A,Admitted
913212,C,Admitted
898948,A,Admitted
934014,E,Rejected
908509,B,Admitted
900758,A,Admitted
898130,A,Admitted
934365,E,Admitted
919814,C,Rejected
942244,F,Rejected
935022,E,Admitted
921909,C,Rejected
902794,A,Rejected
931299,D,Rejected
939777,F,Rejected
910195,B,Admitted
929495,D,Rejected
907975,B,Admitted
944677,F,Rejected
915909,C,Rejected
904689,A,Rejected
924164,D,Admitted
941509,F,Rejected
910727,B,Rejected
923783,D,Admitted
912822,B,Rejected
907672,B,Admitted
902430,A,Rejected
939266,F,Rejected
936198,E,Rejected
924156,D,Admitted
902194,A,Rejected
919666,C,Rejected
905872,A,Admitted
918634,C,Admitted
939648,F,Rejected
909451,B,Admitted
942662,F,Admitted
906780,B,Admitted
931670,D,Rejected
941926,F,Rejected
910259,B,Admitted
903223,A,Rejected
904515,A,Rejected
905383,A,Rejected
936509,E,Rejected
921633,C,Rejected
912244,B,Rejected
925900,D,Rejected
940336,F,Rejected
901997,A,Admitted
939898,F,Rejected
908481,B,Admitted
938459,F,Admitted
943172,F,Rejected
912634,B,Rejected
907220,B,Admitted
897839,A,Admitted
910403,B,Admitted
932970,E,Rejected
943946,F,Rejected
937975,E,Rejected
923603,D,Admitted
923774,D,Admitted
904788,A,Rejected
923786,D,Admitted
898531,A,Admitted
943420,F,Rejected
908291,B,Admitted
904731,A,Rejected
927956,D,Admitted
907344,B,Admitted
921691,C,Rejected
934574,E,Admitted
897767,A,Admitted
897055,A,Admitted
918523,C,Admitted
941074,F,Rejected
925572,D,Rejected
898876,A,Admitted
926405,D,Rejected
914555,C,Rejected
940627,F,Rejected
929603,D,Rejected
937969,E,Rejected
940496,F,Rejected
937190,E,Rejected
921944,C,Rejected
907983,B,Admitted
902625,A,Rejected
922352,C,Rejected
923611,D,Admitted
906371,A,Admitted
900652,A,Admitted
912347,B,Rejected
897977,A,Admitted
937503,E,Rejected
914239,C,Admitted
937039,E,Rejected
929396,D,Rejected
912897,B,Admitted
933366,E,Rejected
938228,E,Rejected
898881,A,Admitted
930768,D,Rejected
923988,D,Admitted
936225,E,Rejected
930343,D,Rejected
898210,A,Admitted
932382,E,Admitted
901369,A,Admitted
932872,E,Rejected
908283,B,Admitted
925223,D,Rejected
915773,C,Rejected
919789,C,Rejected
942798,F,Rejected
916635,C,Rejected
921310,C,Rejected
924128,D,Admitted
912770,B,Rejected
927339,D,Rejected
941837,F,Rejected
900368,A,Admitted
939420,F,Rejected
936841,E,Rejected
920428,C,Rejected
921365,C,Rejected
921497,C,Rejected
910337,B,Admitted
944469,F,Rejected
916474,C,Rejected
913387,C,Admitted
914593,C,Rejected
927332,D,Rejected
933743,E,Rejected
943680,F,Rejected
937830,E,Rejected
906166,A,Admitted
946016,F,Rejected
942632,F,Admitted
925041,D,Rejected
897049,A,Admitted
915128,C,Rejected
905775,A,Admitted
938407,F,Admitted
926424,D,Rejected
925090,D,Rejected
916855,C,Admitted
918899,C,Admitted
933121,E,Rejected
939707,F,Rejected
940079,F,Rejected
941454,F,Rejected
904801,A,Rejected
929647,D,Rejected
931735,D,Rejected
929762,D,Rejected
945947,F,Rejected
911918,B,Rejected
923319,D,Admitted
899270,A,Admitted
928842,D,Admitted
934627,E,Admitted
923445,D,Admitted
909494,B,Admitted
924176,D,Admitted
912958,B,Admitted
912416,B,Rejected
923679,D,Admitted
945183,F,Rejected
914314,C,Admitted
926635,D,Rejected
901387,A,Admitted
918183,C,Admitted
898945,A,Admitted
913871,C,Admitted
940544,F,Rejected
922767,C,Rejected
903667,A,Rejected
921274,C,Rejected
930400,D,Rejected
934315,E,Admitted
912262,B,Rejected
923513,D,Admitted
903286,A,Rejected
904484,A,Rejected
912802,B,Rejected
902441,A,Rejected
922557,C,Rejected
922846,C,Rejected
923690,D,Admitted
942117,F,Rejected
912906,B,Admitted
925629,D,Rejected
910758,B,Rejected
909771,B,Admitted
935473,E,Rejected
917854,C,Admitted
941184,F,Rejected
922044,C,Rejected
929082,D,Admitted
900805,A,Admitted
932830,E,Rejected
901491,A,Admitted
925820,D,Rejected
922579,C,Rejected
934517,E,Admitted
946096,F,Rejected
928165,D,Admitted
929323,D,Rejected
925707,D,Rejected
898006,A,Admitted
907889,B,Admitted
920837,C,Rejected
944054,F,Rejected
897706,A,Admitted
908174,B,Admitted
912748,B,Rejected
909556,B,Admitted
945607,F,Rejected
932024,E,Admitted
926838,D,Rejected
908212,B,Admitted
928881,D,Admitted
941496,F,Rejected
919281,C,Rejected
939601,F,Rejected
937489,E,Rejected
905901,A,Admitted
945323,F,Rejected
944594,F,Rejected
916994,C,Admitted
924506,D,Admitted
944404,F,Rejected
903385,A,Rejected
906030,A,Admitted
930503,D,Rejected
923528,D,Admitted
944420,F,Rejected
930861,D,Rejected
920873,C,Rejected
922089,C,Rejected
920002,C,Rejected
917803,C,Admitted
922085,C,Rejected
937429,E,Rejected
926483,D,Rejected
921123,C,Rejected
936993,E,Rejected
940176,F,Rejected
936513,E,Rejected
926907,D,Rejected
907908,B,Admitted
935783,E,Rejected
945630,F,Rejected
910286,B,Admitted
944854,F,Rejected
920066,C,Rejected
944421,F,Rejected
925319,D,Rejected
919823,C,Rejected
903472,A,Rejected
901979,A,Admitted
938396,E,Rejected
903082,A,Rejected
924735,D,Admitted
916133,C,Rejected
902227,A,Rejected
935414,E,Rejected
927261,D,Rejected
908277,B,Admitted
927367,D,Rejected
899671,A,Admitted
905005,A,Rejected
939796,F,Rejected
924711,D,Admitted
929258,D,Admitted
943398,F,Rejected
901430,A,Admitted
923687,D,Admitted
930660,D,Rejected
934191,E,Admitted
919195,C,Rejected
914927,C,Rejected
938629,F,Admitted
897732,A,Admitted
938774,F,Rejected
924445,D,Admitted
915124,C,Rejected
941175,F,Rejected
917643,C,Admitted
932830,E,Rejected
938839,F,Rejected
905268,A,Rejected
942602,F,Admitted
900654,A,Admitted
910864,B,Rejected
904464,A,Rejected
908698,B,Admitted
932924,E,Rejected
908042,B,Admitted
915930,C,Rejected
919356,C,Rejected
922150,C,Rejected
899727,A,Admitted
903338,A,Rejected
914446,C,Admitted
934738,E,Admitted
916306,C,Rejected
936480,E,Rejected
941543,F,Rejected
925806,D,Rejected
908358,B,Admitted
940462,F,Rejected
913984,C,Admitted
915045,C,Rejected
909460,B,Admitted
902124,A,Rejected
922596,C,Rejected
905854,A,Admitted
936160,E,Rejected
935191,E,Rejected
940152,F,Rejected
907935,B,Admitted
941701,F,Rejected
943340,F,Rejected
897057,A,Admitted
912865,B,Rejected
926140,D,Rejected
935658,E,Rejected
921879,C,Rejected
942899,F,Rejected
921344,C,Rejected
909800,B,Admitted
943235,F,Rejected
896916,A,Admitted
919591,C,Rejected
943046,F,Rejected
904517,A,Rejected
912948,B,Admitted
907771,B,Admitted
911492,B,Rejected
922083,C,Rejected
904952,A,Rejected
919822,C,Rejected
901074,A,Admitted
937245,E,Rejected
912731,B,Rejected
924495,D,Admitted
903541,A,Rejected
903393,A,Rejected
918303,C,Admitted
938465,F,Admitted
929897,D,Rejected
942859,F,Rejected
920247,C,Rejected
911504,B,Rejected
898092,A,Admitted
914975,C,Rejected
931838,D,Rejected
913868,C,Admitted
907679,B,Admitted
910200,B,Admitted
932056,E,Admitted
921701,C,Rejected
938769,F,Rejected
916320,C,Rejected
937946,E,Rejected
940028,F,Rejected
941565,F,Rejected
901548,A,Admitted
909963,B,Admitted
911836,B,Rejected
920321,C,Rejected
925977,D,Rejected
928393,D,Admitted
904084,A,Rejected
919944,C,Rejected
931767,D,Rejected
940615,F,Rejected
937280,E,Rejected
910530,B,Admitted
929126,D,Admitted
904702,A,Rejected
933289,E,Rejected
919582,C,Rejected
940859,F,Rejected
943098,F,Rejected
908779,B,Admitted
927483,D,Rejected
942953,F,Rejected
944697,F,Rejected
920717,C,Rejected
934192,E,Admitted
896507,A,Admitted
931284,D,Rejected
902476,A,Rejected
937606,E,Rejected
935240,E,Rejected
937071,E,Rejected
926485,D,Rejected
927902,D,Admitted
936792,E,Rejected
944747,F,Rejected
909154,B,Admitted
925705,D,Rejected
904929,A,Rejected
915265,C,Rejected
910035,B,Admitted
930588,D,Rejected
912615,B,Rejected
907266,B,Admitted
909877,B,Admitted
935726,E,Rejected
922167,C,Rejected
911940,B,Rejected
939552,F,Rejected
897137,A,Admitted
909116,B,Admitted
945391,F,Rejected
900695,A,Admitted
930451,D,Rejected
904162,A,Rejected
902649,A,Rejected
927280,D,Rejected
910536,B,Admitted
940405,F,Rejected
915663,C,Rejected
904189,A,Rejected
924394,D,Admitted
923881,D,Admitted
940866,F,Rejected
935963,E,Rejected
911553,B,Rejected
914429,C,Admitted
934714,E,Admitted
919704,C,Rejected
910325,B,Admitted
939330,F,Rejected
922237,C,Rejected
928952,D,Admitted
935839,E,Rejected
911031,B,Rejected
925470,D,Rejected
905312,A,Rejected
946188,F,Rejected
936581,E,Rejected
924864,D,Rejected
943836,F,Rejected
908424,B,Admitted
925752,D,Rejected
917270,C,Admitted
921885,C,Rejected
930081,D,Rejected
907296,B,Admitted
917935,C,Admitted
927413,D,Rejected
918811,C,Admitted
925811,D,Rejected
925255,D,Rejected
934606,E,Admitted
921075,C,Rejected
930321,D,Rejected
923275,D,Admitted
941090,F,Rejected
904378,A,Rejected
930498,D,Rejected
903744,A,Rejected
940981,F,Rejected
934718,E,Admitted
931997,E,Admitted
913659,C,Admitted
926695,D,Rejected
936596,E,Rejected
938859,F,Rejected
908030,B,Admitted
917169,C,Admitted
912439,B,Rejected
933462,E,Rejected
897119,A,Admitted
922962,C,Rejected
905847,A,Admitted
944603,F,Rejected
902350,A,Rejected
909392,B,Admitted
900041,A,Admitted
945526,F,Rejected
932836,E,Rejected
919589,C,Rejected
924642,D,Admitted
922527,C,Rejected
944486,F,Rejected
905898,A,Admitted
917905,C,Admitted
944540,F,Rejected
899785,A,Admitted
946015,F,Rejected
917230,C,Admitted
905962,A,Admitted
906738,B,Admitted
924287,D,Admitted
942947,F,Rejected
931120,D,Rejected
917219,C,Admitted
933996,E,Rejected
943298,F,Rejected
900899,A,Admitted
929912,D,Rejected
912716,B,Rejected
927238,D,Rejected
915453,C,Rejected
937145,E,Rejected
900716,A,Admitted
905106,A,Rejected
900593,A,Admitted
941606,F,Rejected
897229,A,Admitted
904253,A,Rejected
928361,D,Admitted
942176,F,Rejected
903014,A,Rejected
912444,B,Rejected
898306,A,Admitted
934000,E,Rejected
930167,D,Rejected
938539,F,Admitted
937035,E,Rejected
899272,A,Admitted
898535,A,Admitted
938376,E,Rejected
935293,E,Rejected
912082,B,Rejected
899571,A,Admitted
899629,A,Admitted
917824,C,Admitted
939342,F,Rejected
936855,E,Rejected
944844,F,Rejected
897566,A,Admitted
915956,C,Rejected
912170,B,Rejected
927428,D,Rejected
943435,F,Rejected
939605,F,Rejected
929298,D,Rejected
936394,E,Rejected
913249,C,Admitted
904922,A,Rejected
923770,D,Admitted
923011,C,Rejected
936351,E,Rejected
918645,C,Admitted
903659,A,Rejected
941053,F,Rejected
901455,A,Admitted
940853,F,Rejected
922478,C,Rejected
927097,D,Rejected
908038,B,Admitted
933835,E,Rejected
903513,A,Rejected
933823,E,Rejected
921689,C,Rejected
915317,C,Rejected
906911,B,Admitted
936639,E,Rejected
920255,C,Rejected
939499,F,Rejected
936849,E,Rejected
925286,D,Rejected
923022,C,Rejected
914298,C,Admitted
923909,D,Admitted
907950,B,Admitted
937140,E,Rejected
929690,D,Rejected
903761,A,Rejected
936062,E,Rejected
921363,C,Rejected
925490,D,Rejected
932030,E,Admitted
918227,C,Admitted
935220,E,Rejected
937537,E,Rejected
941510,F,Rejected
922978,C,Rejected
924339,D,Admitted
935694,E,Rejected
924482,D,Admitted
924940,D,Rejected
945811,F,Rejected
934113,E,Admitted
925529,D,Rejected
903939,A,Rejected
911093,B,Rejected
896940,A,Admitted
918723,C,Admitted
921895,C,Rejected
924428,D,Admitted
899398,A,Admitted
931383,D,Rejected
907957,B,Admitted
928717,D,Admitted
900020,A,Admitted
939497,F,Rejected
942360,F,Rejected
937182,E,Rejected
902259,A,Rejected
941623,F,Rejected
941888,F,Rejected
939609,F,Rejected
903601,A,Rejected
939469,F,Rejected
937964,E,Rejected
913949,C,Admitted
939671,F,Rejected
943975,F,Rejected
899417,A,Admitted
918845,C,Admitted
927808,D,Rejected
935307,E,Rejected
933310,E,Rejected
936214,E,Rejected
922971,C,Rejected
942029,F,Rejected
905285,A,Rejected
906054,A,Admitted
937982,E,Rejected
916181,C,Rejected
926811,D,Rejected
944896,F,Rejected
945906,F,Rejected
935721,E,Rejected
915692,C,Rejected
906507,A,Admitted
898039,A,Admitted
909809,B,Admitted
900690,A,Admitted
897271,A,Admitted
926806,D,Rejected
940300,F,Rejected
904100,A,Rejected
904888,A,Rejected
900169,A,Admitted
917619,C,Admitted
917446,C,Admitted
904376,A,Rejected
933161,E,Rejected
899531,A,Admitted
911229,B,Rejected
922244,C,Rejected
931924,D,Rejected
904514,A,Rejected
919054,C,Rejected
905482,A,Rejected
914947,C,Rejected
941606,F,Rejected
931721,D,Rejected
931137,D,Rejected
904674,A,Rejected
920036,C,Rejected
936442,E,Rejected
925466,D,Rejected
897731,A,Admitted
897978,A,Admitted
931678,D,Rejected
933763,E,Rejected
930384,D,Rejected
935366,E,Rejected
942420,F,Rejected
935787,E,Rejected
926768,D,Rejected
930194,D,Rejected
939097,F,Rejected
945126,F,Rejected
928357,D,Admitted
915048,C,Rejected
926327,D,Rejected
905405,A,Rejected
937337,E,Rejected
906611,A,Rejected
912522,B,Rejected
922728,C,Rejected
929091,D,Admitted
943375,F,Rejected
928394,D,Admitted
915055,C,Rejected
907927,B,Admitted
927069,D,Rejected
909041,B,Admitted
910298,B,Admitted
925755,D,Rejected
910499,B,Admitted
922705,C,Rejected
943805,F,Rejected
930393,D,Rejected
917413,C,Admitted
898817,A,Admitted
927889,D,Admitted
932536,E,Admitted
930956,D,Rejected
902571,A,Rejected
933604,E,Rejected
940999,F,Rejected
906072,A,Admitted
913303,C,Admitted
911571,B,Rejected
938240,E,Rejected
943129,F,Rejected
934901,E,Admitted
927142,D,Rejected
941016,F,Rejected
921536,C,Rejected
921228,C,Rejected
921328,C,Rejected
919401,C,Rejected
941645,F,Rejected
927593,D,Rejected
942630,F,Admitted
898129,A,Admitted
918280,C,Admitted
911207,B,Rejected
924393,D,Admitted
901499,A,Admitted
909258,B,Admitted
939455,F,Rejected
937662,E,Rejected
911359,B,Rejected
943709,F,Rejected
911718,B,Rejected
946068,F,Rejected
911553,B,Rejected
904801,A,Rejected
898582,A,Admitted
914566,C,Rejected
930724,D,Rejected
928159,D,Admitted
905839,A,Admitted
922489,C,Rejected
913789,C,Admitted
944631,F,Rejected
921736,C,Rejected
913240,C,Admitted
919554,C,Rejected
902482,A,Rejected
900380,A,Admitted
900672,A,Admitted
905214,A,Rejected
925962,D,Rejected
922972,C,Rejected
918676,C,Admitted
938711,F,Rejected
907265,B,Admitted
911765,B,Rejected
929170,D,Admitted
930233,D,Rejected
920052,C,Rejected
937811,E,Rejected
905359,A,Rejected
910099,B,Admitted
902322,A,Rejected
915853,C,Rejected
911115,B,Rejected
899389,A,Admitted
936207,E,Rejected
926375,D,Rejected
929136,D,Admitted
944618,F,Rejected
909128,B,Admitted
925112,D,Rejected
908342,B,Admitted
928274,D,Admitted
934979,E,Admitted
901117,A,Admitted
906803,B,Admitted
935866,E,Rejected
897425,A,Admitted
934015,E,Rejected
939884,F,Rejected
918493,C,Admitted
936576,E,Rejected
908851,B,Admitted
909296,B,Admitted
926009,D,Rejected
945708,F,Rejected
933695,E,Rejected
929755,D,Rejected
925349,D,Rejected
928874,D,Admitted
922620,C,Rejected
931635,D,Rejected
916505,C,Rejected
913791,C,Admitted
900652,A,Admitted
912618,B,Rejected
916252,C,Rejected
926962,D,Rejected
920313,C,Rejected
913393,C,Admitted
922693,C,Rejected
922906,C,Rejected
904457,A,Rejected
941037,F,Rejected
905795,A,Admitted
944302,F,Rejected
931068,D,Rejected
929451,D,Rejected
925692,D,Rejected
898620,A,Admitted
945065,F,Rejected
909332,B,Admitted
905657,A,Admitted
907700,B,Admitted
936129,E,Rejected
933619,E,Rejected
906529,A,Rejected
943573,F,Rejected
911201,B,Rejected
931928,D,Rejected
897634,A,Admitted
908365,B,Admitted
909288,B,Admitted
942461,F,Rejected
933800,E,Rejected
901160,A,Admitted
943371,F,Rejected
930197,D,Rejected
939655,F,Rejected
941587,F,Rejected
907977,B,Admitted
940593,F,Rejected
897184,A,Admitted
925547,D,Rejected
931676,D,Rejected
906891,B,Admitted
897810,A,Admitted
903439,A,Rejected
923122,C,Rejected
944978,F,Rejected
907866,B,Admitted
942582,F,Admitted
931354,D,Rejected
943458,F,Rejected
897532,A,Admitted
943786,F,Rejected
936363,E,Rejected
901955,A,Admitted
908940,B,Admitted
945123,F,Rejected
912575,B,Rejected
929238,D,Admitted
932710,E,Rejected
899324,A,Admitted
939319,F,Rejected
944608,F,Rejected
933594,E,Rejected
945439,F,Rejected
917289,C,Admitted
936244,E,Rejected
916997,C,Admitted
921504,C,Rejected
918889,C,Admitted
913634,C,Admitted
903359,A,Rejected
909560,B,Admitted
900413,A,Admitted
934221,E,Admitted
903793,A,Rejected
921285,C,Rejected
900793,A,Admitted
910968,B,Rejected
931522,D,Rejected
939749,F,Rejected
905032,A,Rejected
940427,F,Rejected
900601,A,Admitted
930815,D,Rejected
942505,F,Admitted
902999,A,Rejected
918239,C,Admitted
915823,C,Rejected
907929,B,Admitted
920015,C,Rejected
899867,A,Admitted
918400,C,Admitted
925429,D,Rejected
922178,C,Rejected
924578,D,Admitted
936136,E,Rejected
944709,F,Rejected
932501,E,Admitted
920517,C,Rejected
909384,B,Admitted
910374,B,Admitted
897297,A,Admitted
938740,F,Rejected
904808,A,Rejected
937100,E,Rejected
906582,A,Rejected
938644,F,Rejected
945894,F,Rejected
933215,E,Rejected
934964,E,Admitted
944806,F,Rejected
904168,A,Rejected
942611,F,Admitted
941065,F,Rejected
920667,C,Rejected
920764,C,Rejected
923516,D,Admitted
923076,C,Rejected
930261,D,Rejected
935142,E,Rejected
901257,A,Admitted
903669,A,Rejected
908317,B,Admitted
897331,A,Admitted
902955,A,Rejected
905997,A,Admitted
897477,A,Admitted
940842,F,Rejected
917795,C,Admitted
930040,D,Rejected
904424,A,Rejected
943719,F,Rejected
920477,C,Rejected
923626,D,Admitted
914262,C,Admitted
940504,F,Rejected
923420,D,Admitted
930509,D,Rejected
928814,D,Admitted
912252,B,Rejected
942545,F,Admitted
901487,A,Admitted
907548,B,Admitted
915308,C,Rejected
903510,A,Rejected
942864,F,Rejected
899760,A,Admitted
899182,A,Admitted
942290,F,Rejected
933825,E,Rejected
917973,C,Admitted
914818,C,Rejected
935901,E,Rejected
913529,C,Admitted
911815,B,Rejected
939869,F,Rejected
916484,C,Rejected
938784,F,Rejected
938421,F,Admitted
897207,A,Admitted
917530,C,Admitted
922594,C,Rejected
938672,F,Rejected
925368,D,Rejected
900275,A,Admitted
942665,F,Admitted
938550,F,Admitted
919318,C,Rejected
899024,A,Admitted
925850,D,Rejected
914756,C,Rejected
940428,F,Rejected
929890,D,Rejected
922206,C,Rejected
909946,B,Admitted
932814,E,Rejected
945108,F,Rejected
904443,A,Rejected
938092,E,Rejected
898391,A,Admitted
923165,C,Rejected
901529,A,Admitted
905926,A,Admitted
924916,D,Rejected
946239,F,Rejected
910901,B,Rejected
910816,B,Rejected
926457,D,Rejected
898312,A,Admitted
937282,E,Rejected
915792,C,Rejected
946057,F,Rejected
935120,E,Rejected
902272,A,Rejected
945080,F,Rejected
935138,E,Rejected
902282,A,Rejected
920684,C,Rejected
942949,F,Rejected
906871,B,Admitted
900160,A,Admitted
925145,D,Rejected
924630,D,Admitted
908598,B,Admitted
903765,A,Rejected
901378,A,Admitted
910713,B,Rejected
911248,B,Rejected
902513,A,Rejected
944139,F,Rejected
936765,E,Rejected
929563,D,Rejected
926188,D,Rejected
913787,C,Admitted
938171,E,Rejected
909350,B,Admitted
899921,A,Admitted
921603,C,Rejected
914315,C,Admitted
918417,C,Admitted
905669,A,Admitted
942036,F,Rejected
926290,D,Rejected
920366,C,Rejected
898136,A,Admitted
936846,E,Rejected
931583,D,Rejected
909661,B,Admitted
905246,A,Rejected
918470,C,Admitted
935249,E,Rejected
945551,F,Rejected
909241,B,Admitted
941435,F,Rejected
944164,F,Rejected
899223,A,Admitted
945300,F,Rejected
920212,C,Rejected
940283,F,Rejected
931271,D,Rejected
925902,D,Rejected
940063,F,Rejected
936633,E,Rejected
942767,F,Rejected
930853,D,Rejected
929321,D,Rejected
899235,A,Admitted
929441,D,Rejected
905093,A,Rejected
931735,D,Rejected
922760,C,Rejected
919312,C,Rejected
928210,D,Admitted
910725,B,Rejected
933839,E,Rejected
934625,E,Admitted
915299,C,Rejected
912443,B,Rejected
912990,B,Admitted
912334,B,Rejected
933301,E,Rejected
942617,F,Admitted
906065,A,Admitted
901672,A,Admitted
928273,D,Admitted
903239,A,Rejected
912006,B,Rejected
897276,A,Admitted
903449,A,Rejected
904278,A,Rejected
935719,E,Rejected
923975,D,Admitted
925981,D,Rejected
915462,C,Rejected
927229,D,Rejected
919749,C,Rejected
943423,F,Rejected
903268,A,Rejected
912371,B,Rejected
926847,D,Rejected
924902,D,Rejected
940265,F,Rejected
908568,B,Admitted
940520,F,Rejected
914252,C,Admitted
916124,C,Rejected
929189,D,Admitted
939414,F,Rejected
942466,F,Rejected
909753,B,Admitted
935230,E,Rejected
904785,A,Rejected
921111,C,Rejected
932133,E,Admitted
911633,B,Rejected
938509,F,Admitted
903102,A,Rejected
909609,B,Admitted
943207,F,Rejected
919670,C,Rejected
903834,A,Rejected
903544,A,Rejected
897233,A,Admitted
908885,B,Admitted
925369,D,Rejected
918878,C,Admitted
904310,A,Rejected
899177,A,Admitted
910045,B,Admitted
906074,A,Admitted
901159,A,Admitted
903426,A,Rejected
897922,A,Admitted
936069,E,Rejected
944491,F,Rejected
946094,F,Rejected
934839,E,Admitted
936491,E,Rejected
911488,B,Rejected
900465,A,Admitted
917526,C,Admitted
932519,E,Admitted
906068,A,Admitted
904077,A,Rejected
921539,C,Rejected
897938,A,Admitted
934073,E,Rejected
924350,D,Admitted
922310,C,Rejected
907530,B,Admitted
943066,F,Rejected
920433,C,Rejected
