"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRY","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.555555344,
"RUS","CROPYIELD","MAIZE","TONNE_HA","A","2017",4.407061818,
"CAN","CROPYIELD","MAIZE","TONNE_HA","A","2017",10.025106686,
"CHN","CROPYIELD","MAIZE","TONNE_HA","A","2017",6.089985896,
"MYS","CROPYIELD","MAIZE","TONNE_HA","A","2017",4,
"MEX","CROPYIELD","MAIZE","TONNE_HA","A","2017",3.657027268,
"IDN","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.790476322,
"SAU","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.714285851,
"THA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",0.314285725,
"CHE","CROPYIELD","MAIZE","TONNE_HA","A","2017",8.421052632,
"PAK","CROPYIELD","MAIZE","TONNE_HA","A","2017",4.813278198,
"ETH","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2,
"BRICS","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.463570898,
"KOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.617647059,
"ISR","CROPYIELD","MAIZE","TONNE_HA","A","2017",30,
"WLD","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.830611167,
"CHL","CROPYIELD","MAIZE","TONNE_HA","A","2017",11.242105484,
"BRA","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.817908326,
"VNM","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.655555606,
"RUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.4729344,
"ISR","CROPYIELD","RICE","TONNE_HA","A","2017",1,
"USA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.300230996,
"IND","CROPYIELD","MAIZE","TONNE_HA","A","2017",2.708420992,
"NGA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",0.984375,
"EGY","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.076923132,
"THA","CROPYIELD","MAIZE","TONNE_HA","A","2017",4.166666508,
"ETH","CROPYIELD","MAIZE","TONNE_HA","A","2017",3.859649181,
"ZAF","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.796235085,
"ISR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"AUS","CROPYIELD","MAIZE","TONNE_HA","A","2017",6.480906932,
"KAZ","CROPYIELD","MAIZE","TONNE_HA","A","2017",2.285714388,
"VNM","CROPYIELD","MAIZE","TONNE_HA","A","2017",4.351733685,
"ARG","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.882665128,
"JPN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.686678891,
"NGA","CROPYIELD","MAIZE","TONNE_HA","A","2017",2.568472862,
"ISR","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.833333254,
"UKR","CROPYIELD","MAIZE","TONNE_HA","A","2017",5.415730476,
"IDN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.363636375,
"NZL","CROPYIELD","MAIZE","TONNE_HA","A","2017",10.912336842,
"COL","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.043478251,
"TUR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",4.28571415,
"PHL","CROPYIELD","MAIZE","TONNE_HA","A","2017",2.814814806,
"IRN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.296296239,
"AUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.874490084,
"JPN","CROPYIELD","MAIZE","TONNE_HA","A","2017",1,
"CAN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.629344419,
"MYS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"PAK","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",0.5,
"IND","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",0.801886797,
"SAU","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"MEX","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.859818298,
"UKR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.919191957,
"PRY","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.809798241,
"USA","CROPYIELD","MAIZE","TONNE_HA","A","2017",11.084471036,
"EGY","CROPYIELD","MAIZE","TONNE_HA","A","2017",6.454545498,
"WLD","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.727139225,
"CHN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.054254007,
"COL","CROPYIELD","MAIZE","TONNE_HA","A","2017",2.835820913,
"CHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"KOR","CROPYIELD","MAIZE","TONNE_HA","A","2017",4.893330389,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.448837575,
"ARG","CROPYIELD","MAIZE","TONNE_HA","A","2017",7.115807891,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.271186352,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.5,
"TUR","CROPYIELD","MAIZE","TONNE_HA","A","2017",8.912386894,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.121037464,
"OECD","CROPYIELD","MAIZE","TONNE_HA","A","2017",9.27663381,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.223526305,
